,popularity,budget,vote_average,Tomatoes,Profit_Margin,Success
Freddy vs. Jason,14.015739,30000000,5.8,42,0.738923458,0
Samson and Delilah,2.528638,3000000,6.1,56,0.739130435,0
Marked for Death,5.845712,12000000,5.6,27,0.739381988,0
The Best Man,5.055141,9000000,6.8,57,0.739687127,0
Happy Feet,15.088318,100000000,5.9,76,0.739810733,0
2012,16.698628,200000000,5.6,39,0.740142837,0
The Girl on the Train,10.217291,45000000,6.2,9,0.740163543,0
The Animal,8.473369,22000000,4.6,30,0.740482619,0
Deuce Bigalow: Male Gigolo,6.567794,17000000,5.4,22,0.740596893,0
You've Got Mail,10.237996,65000000,6.3,70,0.740851557,0
Rush Hour 2,8.345985,90000000,6.4,51,0.740877299,0
The Jewel of the Nile,10.571841,25000000,6,46,0.741664014,0
Disclosure,11.812244,55000000,5.9,59,0.743008774,0
The Bucket List,9.070643,45000000,7,41,0.74340333,0
Damien: Omen II,10.235373,6800000,6.1,46,0.743573838,0
Gentleman's Agreement,6.857318,2000000,6.8,82,0.743589744,0
I Am Legend,11.379355,150000000,6.9,68,0.743742626,0
Dave Chappelle's Block Party,2.092791,3000000,6.5,92,0.743996614,0
The Informer,2.000496,243000,6.5,64,0.744210526,0
Spider-Man 2,10.834506,200000000,6.7,93,0.744821907,0
Firefox,8.97528,18000000,5.5,38,0.745357528,0
King Kong,5.810716,23000000,5.9,96,0.746177334,0
The Break-Up,6.327193,52000000,5.6,34,0.746341075,0
The Revenant,23.501228,135000000,7.3,56,0.746693175,0
Family Plot,4.845776,2000000,6.7,92,0.746835443,0
Conan the Barbarian,10.52008,20000000,6.6,66,0.747200514,0
Armageddon,13.235112,140000000,6.5,38,0.747200958,0
Patriot Games,11.075674,45000000,6.4,74,0.747264258,0
Kabali,2.017961,18700000,5.9,58,0.747297297,0
One Day,11.239012,15000000,7,36,0.747429816,0
Scary Movie 4,13.096692,45000000,5.3,34,0.747563454,0
xXx,12.722381,70000000,5.8,48,0.747700817,0
Jurassic Park III,0.648867,93000000,5.7,49,0.74781768,0
Star Trek: The Motion Picture,8.277765,35000000,6.2,53,0.748201439,0
The Lucky One,7.740762,25000000,6.8,20,0.748382446,0
Sully,18.275689,60000000,7,85,0.748396059,0
Detective Dee and the Mystery of the Phantom Flame,7.17548,13000000,6.5,80,0.748662522,0
Nighthawks,5.830675,5000000,6.4,40,0.748811363,0
Bachelorette,10.893224,3000000,5.3,57,0.748910985,0
The Boss Baby,13.392824,125000000,6.1,53,0.749406046,0
Bachna Ae Haseeno,1.921026,2400000,6.5,63,0.75,0
The Hollywood Knights,2.599219,2500000,6.4,14,0.75,0
The Night of the Iguana,2.560454,3000000,6.9,75,0.75,0
Creepshow 2,9.330087,3500000,5.9,29,0.75,0
Spice World,4.257516,25000000,4.7,35,0.75,0
Enchanted,11.447798,85000000,6.6,93,0.750358054,0
The Cannonball Run,6.693055,18000000,6.2,29,0.750621987,0
Lionheart,4.619068,6000000,5.9,39,0.750811896,0
Johnny English,8.739991,40000000,6,33,0.750907658,0
Trainwreck,17.310647,35000000,5.9,84,0.751413027,0
Madagascar: Escape 2 Africa,12.668733,150000000,6.2,64,0.751614651,0
Vampires Suck,8.129407,20000000,4.2,4,0.751700436,0
Piku,2.942711,5500000,6.8,89,0.751796273,0
Juice,5.547398,5000000,7,79,0.751822615,0
Hellbound: Hellraiser II,8.541732,3000000,6.3,50,0.751876127,0
Another 48 Hrs.,6.938921,38000000,5.8,20,0.752473593,0
Jumanji,17.015539,65000000,6.9,52,0.752661033,0
Scream 3,9.738371,40000000,5.7,41,0.752833572,0
Patch Adams,12.52181,50000000,7,21,0.752833641,0
Swimfan,8.421411,8500000,5,15,0.752987687,0
Bill & Ted's Excellent Adventure,15.109261,10000000,6.7,82,0.752995174,0
Flightplan,12.419851,55000000,6.1,37,0.753790837,0
Marley & Me,9.729748,60000000,6.9,63,0.754181351,0
xXx: Return of Xander Cage,17.918269,85000000,5.5,45,0.754440055,0
The Great Gatsby,5.702638,6500000,6.2,39,0.755023895,0
Panic Room,14.969502,48000000,6.6,76,0.755597598,0
Along Came Polly,15.725542,42000000,5.8,27,0.755761962,0
Austin Powers: International Man of Mystery,11.749159,16500000,6.5,73,0.756220042,0
Krampus,15.553313,15000000,5.9,66,0.756290575,0
Tumbleweeds,0.88888,312000,6.2,82,0.75647374,0
Hard Target,7.834351,18000000,6.1,60,0.757378644,0
Throw Momma from the Train,6.573364,14000000,6,64,0.758270482,0
Out of Africa,14.004074,31000000,7,61,0.758753371,0
Doctor Dolittle,9.439079,71000000,5.4,29,0.758877883,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",18.13542,180000000,6.7,75,0.759617618,0
Hancock,11.017324,150000000,6.2,41,0.759626699,0
Hellraiser: Bloodline,5.263187,4000000,4.9,24,0.76011994,0
Fanaa,3.003526,5300000,6.7,100,0.761001894,0
I Am Sam,12.935016,22000000,7.2,36,0.762271178,0
American Wedding,14.397139,55000000,6,53,0.762366864,0
The Best Man Holiday,6.102021,17000000,6.7,70,0.762653351,0
Hotel Transylvania,16.231945,85000000,6.8,44,0.762818676,0
Dhoom 2,3.81393,11000000,5.9,92,0.762912778,0
Spy Kids,9.576745,35000000,5.5,93,0.763408294,0
The Fourth Kind,13.751992,10000000,5.8,18,0.763779314,0
Freaky Friday,7.867999,26000000,6,88,0.764130258,0
Cujo,7.065626,5000000,5.7,60,0.764150943,0
Dumb and Dumber To,15.402597,40000000,5.4,30,0.764480074,0
Step Up Revolution,7.859968,33000000,6.7,41,0.765075641,0
Into the Woods,9.580785,50000000,5.6,71,0.765150573,0
The Sugarland Express,4.506948,3000000,6.4,87,0.765625,0
Fast & Furious,1.498902,85000000,6.5,28,0.765946135,0
Closer,10.860952,27000000,6.7,68,0.76624394,0
The Village,8.172707,60000000,6.2,43,0.766261863,0
28 Weeks Later,12.884191,15000000,6.5,72,0.766494952,0
Wag the Dog,7.603652,15000000,6.7,86,0.766560629,0
The Fly,8.407369,700000,6.9,95,0.766666667,0
Over the Hedge,9.382953,80000000,6.3,75,0.767033659,0
Hook,14.508137,70000000,6.7,29,0.76732964,0
To Rome with Love,7.812646,17000000,5.6,46,0.767901869,0
Rumble in the Bronx,12.314278,7500000,6.5,80,0.768461684,0
Torn Curtain,6.243248,3000000,6.4,65,0.769230769,0
The Pelican Brief,8.708306,45000000,6.3,54,0.76954756,0
Central Intelligence,11.374041,50000000,6.2,71,0.769556095,0
Epic Movie,5.549609,20000000,3.2,2,0.769759165,0
Mr. & Mrs. Smith,15.724373,110000000,6.5,59,0.769974341,0
In Time,10.324613,40000000,6.7,37,0.770023211,0
One Hour Photo,10.753445,12000000,6.6,81,0.770217535,0
The Day After Tomorrow,15.049695,125000000,6.2,45,0.77033559,0
Unknown,14.443599,30000000,6.5,38,0.770618346,0
Fletch Lives,10.357224,8045760,5.8,37,0.771108385,0
Mighty Morphin Power Rangers: The Movie,7.024227,15000000,5.2,32,0.772727273,0
Delhi Belly,1.932489,4090000,7,89,0.773218741,0
Burn After Reading,13.206799,37000000,6.5,78,0.774004493,0
In the Line of Fire,12.637158,40000000,6.8,96,0.774007684,0
Voyage to the Bottom of the Sea,3.013584,1580000,5.4,76,0.774285714,0
He's Just Not That Into You,8.376094,40000000,6.2,41,0.774342062,0
Gosford Park,14.101101,19800000,6.8,87,0.774369373,0
Down and Out in Beverly Hills,9.970485,14000000,5.9,79,0.774681345,0
Papillon,15.698433,12000000,7.8,52,0.774719808,0
Upstream Color,8.003815,100000,6.5,86,0.774824476,0
Hannah Montana: The Movie,6.332878,35000000,6,43,0.774985135,0
Never Say Never Again,10.231985,36000000,5.8,71,0.775,0
Recess: School's Out,4.195694,10000000,6.6,60,0.775083022,0
Non-Stop,19.650229,50000000,6.8,61,0.775593152,0
When a Stranger Calls,5.149058,15000000,5.4,38,0.776009036,0
The Rock,13.249824,75000000,6.9,67,0.776161245,0
The Princess Diaries,7.387171,37000000,6.5,49,0.77621214,0
Under Siege,9.918269,35000000,6.1,79,0.776448018,0
The First Wives Club,10.177303,26000000,6.5,50,0.776632302,0
A Serious Man,7.971424,7000000,6.6,89,0.777285218,0
A Walk in the Woods,12.019571,8000000,5.7,47,0.777722746,0
Prophecy,3.579175,12000000,5.4,100,0.777777778,0
Journey 2: The Mysterious Island,9.46307,79000000,5.8,44,0.777898206,0
Major League,5.304376,11000000,6.7,83,0.779103815,0
Dragon: The Bruce Lee Story,5.079464,14000000,6.8,74,0.779575265,0
Trick,2.493289,450000,6.7,79,0.780444429,0
Shrek Forever After,11.803808,165000000,6,57,0.780760284,0
Alvin and the Chipmunks: Chipwrecked,8.066393,75000000,5.4,12,0.781146778,0
Sinbad and the Eye of the Tiger,3.502655,3500000,6.3,56,0.78125,0
Broken Flowers,6.589304,10000000,6.8,87,0.78138302,0
Initial D,4.331811,1549000,6.3,33,0.781708005,0
Scary Movie 3,11.142209,48000000,5.8,35,0.782483798,0
Dear John,8.371479,25000000,6.6,29,0.782565405,0
K-9,5.772293,17000000,5.5,30,0.782741071,0
Miracles from Heaven,7.528099,16000000,6.8,45,0.783442439,0
Set It Off,6.85606,9000000,6.9,71,0.783606437,0
The Hills Have Eyes,18.960549,15000000,6.1,67,0.784556161,0
Weekend at Bernie's,8.051891,6500000,6.4,54,0.784899174,0
The Final Destination,8.805723,40000000,5.4,27,0.78513931,0
Rebecca,8.590813,1288000,7.7,39,0.785333333,0
Tales from the Darkside: The Movie,5.732016,3500000,5.8,43,0.785599293,0
Dhoom 3,5.326716,19500000,6,70,0.785714286,0
The SpongeBob SquarePants Movie,11.213712,30000000,6.7,68,0.785961641,0
Love & Friendship,12.822085,3000000,6.4,96,0.785967578,0
The King and I,7.630723,4550000,7.3,13,0.786384977,0
The Edge of Heaven,10.083019,3800000,6.6,90,0.78657159,0
The Eye,8.233662,12000000,5.5,64,0.786893094,0
American Reunion,8.10609,50000000,6.1,80,0.787224612,0
Ernest Saves Christmas,3.590547,6000000,4.9,36,0.787249954,0
God's Not Dead 2,5.957998,5000000,5.6,10,0.787302531,0
Final Destination 3,11.872997,25000000,5.8,43,0.787630149,0
Austin Powers in Goldmember,8.786653,63000000,5.9,53,0.787632406,0
Miss Congeniality,9.510762,45000000,6.1,41,0.787735849,0
Prince of Darkness,8.587231,3000000,6.6,61,0.788471589,0
Transformers,5.587707,150000000,6.6,58,0.788646001,0
Blue Valentine,11.107914,3500000,6.9,86,0.788726953,0
American Gigolo,11.53267,4800000,5.9,69,0.788952304,0
Hard to Kill,7.176601,10000000,5.6,33,0.789074035,0
Phenomenon,5.575992,32000000,6.2,49,0.789524063,0
Cheaper by the Dozen,7.364297,40000000,6,83,0.78970845,0
The Omen,5.670679,25000000,5.3,26,0.790247928,0
About a Boy,10.956665,27000000,6.6,93,0.790697674,0
The Living Daylights,12.189038,40000000,6.2,73,0.790779547,0
The Unborn,7.108555,16000000,4.8,9,0.790888079,0
Mission: Impossible - Ghost Protocol,14.25843,145000000,6.8,93,0.79128083,0
How Green Was My Valley,9.058578,1250000,6.9,93,0.791666667,0
Last Vegas,9.157369,28000000,6.4,46,0.791670464,0
The Gauntlet,6.389326,5500000,6.6,74,0.791782275,0
Night of the Comet,4.947043,3000000,6.1,79,0.791940063,0
Friday the 13th,14.20229,19000000,5.7,63,0.792074882,0
Star Trek III: The Search for Spock,6.197298,18000000,6.4,78,0.793103448,0
Rio 2,8.18534,103000000,6.3,48,0.794077606,0
What Happens in Vegas,10.054226,35000000,5.8,25,0.794117647,0
Licence to Kill,11.137888,32000000,5.9,79,0.795091172,0
Shark Tale,17.999273,75000000,5.8,35,0.795793353,0
Nanny McPhee,9.806554,25000000,6.4,74,0.79590141,0
Tape,3.580063,100000,6.9,77,0.79611601,0
Dressed to Kill,9.3806,6500000,6.8,80,0.796231857,0
Child's Play,19.827546,9000000,6.3,72,0.796364813,0
Escape from the Planet of the Apes,12.120267,2500000,6.3,77,0.7975529,0
My Big Fat Greek Wedding 2,6.344961,18000000,5.6,27,0.797578251,0
Kids,4.877872,1500000,6.8,47,0.79763137,0
Troll,10.254424,1100000,4.9,89,0.798195316,0
Identity Thief,7.321172,35000000,5.6,19,0.798810117,0
Stay Hungry,2.44274,5000000,5.8,67,0.798831331,0
Chicken Run,11.834245,45000000,6.5,97,0.799852838,0
Pet Sematary,8.365761,11500000,6.4,56,0.799893742,0
The Signal,11.329733,50000,5.9,61,0.799923971,0
Airport '77,9.394776,6000000,5.8,40,0.8,0
Resident Evil: Afterlife,0.452934,60000000,5.8,21,0.80015194,0
The Perfect Guy,7.607052,12000000,5.6,18,0.80090645,0
The Net,13.304342,22000000,5.6,83,0.801135274,0
Muriel's Wedding,5.254847,3000000,6.9,80,0.801582564,0
Diary of a Wimpy Kid,12.139919,15000000,5.9,54,0.801850709,0
Shaft's Big Score!,0.760855,1978000,6.1,58,0.8022,0
The Mighty Ducks,6.113646,10000000,6.4,21,0.802964738,0
A View to a Kill,12.840798,30000000,6,37,0.803185715,0
Waiting to Exhale,3.859495,16000000,6.1,61,0.803565666,0
Maze Runner: The Scorch Trials,41.225769,61000000,6.5,48,0.804020425,0
Apollo 18,10.711742,5000000,5,24,0.804404222,0
Spaced Invaders,2.428279,3000000,4.8,8,0.804809151,0
The Smurfs,10.219758,110000000,5.5,21,0.804877814,0
The Enforcer,7.550133,9000000,6.7,69,0.805346483,0
Madagascar 3: Europe's Most Wanted,13.829042,145000000,6.4,78,0.805869768,0
Urban Legend,6.081401,14000000,5.6,24,0.806970023,0
Porky's II: The Next Day,5.269838,6500000,5.2,11,0.807460269,0
The Ring,13.740965,48000000,6.5,98,0.807498675,0
42nd Street,4.718154,439000,6.1,96,0.807540552,0
The Mummy,23.984065,80000000,6.6,15,0.807639357,0
Super 8,19.529911,50000000,6.6,81,0.807763278,0
Battle for the Planet of the Apes,11.644764,1700000,5.5,36,0.807792217,0
Devil's Due,10.591125,7000000,4.4,18,0.807871636,0
Cape Fear,10.302735,35000000,7,75,0.808008777,0
Night at the Museum,16.661966,110000000,6.4,43,0.80852277,0
P.S. I Love You,10.304881,30000000,7,25,0.80871658,0
8 Mile,8.374355,41000000,6.8,75,0.809302326,0
Hitch,13.35076,70000000,6.3,69,0.809834501,0
Gnomeo & Juliet,9.244469,36000000,5.8,55,0.81023911,0
Uncle Buck,8.13754,15000000,6.6,62,0.810745941,0
Sinister 2,17.602928,10000000,5.5,14,0.810899803,0
Jason Goes to Hell: The Final Friday,9.223325,3000000,4.2,16,0.811771379,0
27 Dresses,10.342202,30000000,6.1,41,0.812803398,0
Safety Not Guaranteed,7.067494,750000,6.8,91,0.81286454,0
Hot Shots! Part Deux,13.482371,25000000,6.2,58,0.81308806,0
Halloween,11.607678,15000000,5.9,96,0.813093214,0
Legends of the Fall,12.199047,30000000,7.2,57,0.813245713,0
House of Usher,3.481988,270000,6.5,84,0.813793103,0
Clerks II,8.466725,5000000,6.9,63,0.81404604,0
Rio,10.403228,90000000,6.5,72,0.814293522,0
Dracula,16.777675,40000000,7.1,59,0.81469702,0
The Ugly Truth,8.450799,38000000,6.4,14,0.814904032,0
Movie 43,10.895427,6000000,4.5,4,0.815037386,0
Elf,8.754132,32000000,6.4,85,0.815454017,0
Next Friday,10.06545,11000000,6.5,21,0.816137535,0
The Berlin File,7.453745,9000000,6.5,43,0.81619603,0
Heartbreaker,5.546687,8700000,6.5,68,0.816282005,0
For Me and My Gal,6.165341,802000,6.2,100,0.816517959,0
Jerry Maguire,11.807601,50000000,6.7,84,0.817219791,0
Desperately Seeking Susan,8.679349,5000000,6,84,0.817518248,0
Return to Never Land,8.759774,20000000,6.1,45,0.817954563,0
The Money Pit,7.054864,10000000,6.2,50,0.818180664,0
Battle Beyond the Stars,2.921405,2000000,5.9,50,0.818181818,0
Star Trek IV: The Voyage Home,12.596956,24000000,6.9,82,0.819548872,0
Conan the Destroyer,10.151366,18000000,5.8,27,0.82,0
The Little Mermaid,17.496832,40000000,7.2,20,0.820062978,0
Transformers: Revenge of the Fallen,4.351756,150000000,6,20,0.820637932,0
Woman in Gold,11.61,11000000,7.3,57,0.821485873,0
New Jack City,12.979446,8500000,6.3,77,0.82151951,0
Signs,11.211568,72000000,6.4,75,0.823636577,0
The Amityville Horror,13.088552,19000000,6,31,0.824150814,0
Conquest of the Planet of the Apes,12.843375,1700000,6.1,52,0.824742268,0
Mission: Impossible,15.793477,80000000,6.7,66,0.825211631,0
Evil Dead,12.01525,17000000,6.4,63,0.825717803,0
Commando,10.193652,10000000,6.4,67,0.826086957,0
Planet of the Apes,17.784978,5800000,7.5,44,0.826323521,0
Casper,12.812539,50000000,6,51,0.826345592,0
Halloween III: Season of the Witch,6.066618,2500000,5,51,0.826388889,0
Big Momma's House,7.978985,30000000,5.6,30,0.827546005,0
Stomp the Yard,5.607508,13000000,6.1,27,0.827839933,0
Ghostbusters II,16.414239,37000000,6.3,55,0.828222359,0
The Trouble with Harry,6.486117,1200000,6.9,88,0.828571429,0
Murderball,1.687901,300000,6.9,98,0.828592095,0
Sea of Love,9.801967,19000000,6.7,74,0.828642826,0
Disturbia,18.006896,20000000,6.6,69,0.830163237,0
The Man from Snowy River,3.382894,3500000,6.9,85,0.830585782,0
Alvin and the Chipmunks: The Squeakquel,9.909961,75000000,5.3,21,0.830753263,0
Bananas,4.331819,2000000,6.7,83,0.830991095,0
Jeepers Creepers,10.414363,10000000,6.1,46,0.831131824,0
101 Dalmatians,11.470748,54000000,5.6,41,0.831612714,0
The Birdcage,6.49968,31000000,6.7,83,0.832668102,0
More American Graffiti,3.084426,2500000,4.8,20,0.833496218,0
Alvin and the Chipmunks,11.805233,60000000,5.5,28,0.833963641,0
Bridget Jones's Baby,10.754139,35000000,6.3,78,0.834868599,0
Bruce Almighty,15.947524,80000000,6.4,48,0.83490614,0
GoldenEye,14.686036,58000000,6.6,80,0.835318051,0
The Ides of March,6.82647,12500000,6.5,83,0.835511298,0
Wayne's World,10.180776,20000000,6.5,79,0.835657848,0
Chocolat,8.9256,25000000,6.8,63,0.836065942,0
The Possession,7.286477,14000000,5.8,38,0.836153972,0
South Pacific,2.747118,6000000,6.3,82,0.836956522,0
The Da Vinci Code,18.566706,125000000,6.5,25,0.837201525,0
Claire of the Moon,0.59091,130000,5.2,10,0.837433754,0
Ride Along,9.895752,25000000,6.1,18,0.837660039,0
Super Troopers,7.351028,3000000,6.6,36,0.837770859,0
Moonraker,10.576273,34000000,5.9,59,0.838332427,0
Saw VI,17.360894,11000000,6,39,0.838789169,0
Pocahontas,13.280069,55000000,6.7,54,0.841077103,0
Barbershop,6.498789,12000000,6.2,82,0.841650304,0
Beneath the Planet of the Apes,12.325947,3000000,6.2,37,0.84210292,0
A Lonely Place to Die,6.780752,4000000,6.2,75,0.842177944,0
Spring Breakers,14.830235,5000000,5,67,0.84239203,0
The Addams Family,12.962525,30000000,6.7,67,0.843344021,0
Sex and the City,9.170332,65000000,6,49,0.843468841,0
Martin Lawrence Live: Runteldat,0.527297,3000000,5,39,0.843619805,0
House at the End of the Street,8.513457,6900000,5.6,12,0.844198533,0
Vicky Cristina Barcelona,9.648539,15000000,6.7,80,0.844412304,0
The Firm,9.678367,42000000,6.6,68,0.844587405,0
Meet the Fockers,11.876386,80000000,6.1,38,0.845154179,0
Cavalcade,1.196324,1180280,4.6,67,0.845310616,0
Rocky Balboa,11.697604,24000000,6.5,77,0.845878336,0
300,18.108408,65000000,7,61,0.846194043,0
The Vow,9.524298,30000000,7,31,0.847028194,0
Silent House,10.239941,2000000,5.2,42,0.847347728,0
48 Hrs.,15.297121,12000000,6.5,94,0.847848016,0
Metropolis,9.298092,14500000,6.8,87,0.848626166,0
WarGames,8.321647,12000000,7,93,0.849184971,0
City Slickers,7.334686,27000000,6.2,88,0.84919048,0
Bringing Down the House,5.762343,20000000,5.4,34,0.849256157,0
Caddyshack,10.451986,6000000,6.7,72,0.849421568,0
Human Traffic,4.988283,600000,6.8,59,0.85,0
My Bloody Valentine,5.245883,15000000,5.3,56,0.851094039,0
The Game Plan,9.627676,22000000,6,29,0.851231274,0
Liar Liar,10.102471,45000000,6.4,83,0.851343171,0
Act of Valor,12.159818,12000000,6.3,28,0.852349064,0
The Jungle Book 2,10.605851,20000000,5.6,18,0.85259434,0
Taken 3,18.081483,48000000,6.1,13,0.852657426,0
Mortal Kombat,10.870138,18000000,5.4,45,0.852695573,0
17 Again,11.362762,20000000,6.1,56,0.853229835,0
Octopussy,10.619302,27500000,6.2,42,0.853333333,0
Rambo: First Blood Part II,11.924462,44000000,6.3,33,0.853528839,0
Cloverfield,12.868098,25000000,6.4,78,0.853599142,0
Tommy,6.335814,5000000,6.5,71,0.854021098,0
The Wedding Singer,8.884035,18000000,6.5,72,0.854022871,0
Desert Hearts,1.553107,350000,6.7,90,0.854166667,0
Big Daddy,8.011869,34200000,6.2,39,0.854345298,0
The Land Before Time,13.631352,12300000,7,64,0.854370391,0
The Lady in the Van,5.799373,6000000,6,89,0.855029347,0
Salmon Fishing in the Yemen,6.753328,5000000,6.3,67,0.855343542,0
Winter's Bone,7.27941,2000000,6.8,94,0.855402555,0
The Wedding Banquet,2.709403,1000000,6.8,97,0.855771845,0
Psycho II,6.370495,5000000,6,61,0.856011519,0
"Honey, I Shrunk the Kids",12.358786,32000000,6.1,78,0.85632453,0
For Your Eyes Only,9.765123,28000000,6.3,69,0.856640222,0
A Room with a View,6.175166,3000000,6.9,60,0.856915585,0
Save the Last Dance,4.794088,13000000,6.3,53,0.85720292,0
Capote,6.01272,7000000,6.9,89,0.857389748,0
Indecent Proposal,7.118123,38000000,5.8,34,0.857471882,0
Half Nelson,12.155115,700000,6.5,91,0.857483878,0
Tangerine,4.832631,100000,6.9,96,0.857621655,0
The Santa Clause 3: The Escape Clause,6.829528,12000000,5,17,0.857988371,0
Ace Ventura: When Nature Calls,8.205448,30000000,6.1,21,0.858747441,0
Mannequin,8.525782,6000000,5.5,20,0.859554494,0
Wedding Crashers,11.100597,40000000,6.4,75,0.859736107,0
Ace Ventura: Pet Detective,11.247957,15000000,6.4,48,0.86009733,0
If I Stay,9.659244,11000000,7.3,35,0.86053855,0
Scream 2,11.264845,24000000,6.1,82,0.860759223,0
Dark Skies,26.972326,3500000,6.1,41,0.86096941,0
Hit & Run,7.148558,2000000,5.5,48,0.861111111,0
Basic Instinct,16.628427,49000000,6.5,57,0.861161178,0
Cruel Intentions,8.181065,10500000,6.6,54,0.861664103,0
Bull Durham,6.924072,7000000,6.6,97,0.862443012,0
We're the Millers,18.474368,37000000,6.8,49,0.862959978,0
Death Wish,12.968011,3000000,7,18,0.863636364,0
Hard Candy,9.62025,950000,6.8,67,0.864714935,0
The Sword in the Stone,10.636458,3000000,6.9,66,0.864757359,0
Coming to America,7.830087,39000000,6.5,73,0.864936141,0
Sausage Party,17.56963,19000000,5.6,82,0.864966017,0
Rush Hour,11.840557,33000000,6.8,61,0.864968192,0
East Is East,5.138367,3800000,6.5,78,0.865248227,0
The Flintstones,15.019586,46000000,5,21,0.86535188,0
Bad Boys,9.262184,19000000,6.5,43,0.865636095,0
